2016-04-10 21:14:52,357 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\java\git-repostory\demo\parent\src\test\resources
2016-04-10 21:14:52,358 [Worker-1] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of parent
2016-04-10 21:14:52,358 [Worker-1] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for parent
2016-04-10 21:14:52,368 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-10 21:35:23,303 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.song.demo:parent:0.0.1-SNAPSHOT @ E:\java\git-repostory\demo\parent\pom.xml.
2016-04-10 21:36:33,104 [Worker-28] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-04-10 21:36:33,127 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.song.demo:parent:0.0.1-SNAPSHOT @ E:\java\git-repostory\demo\parent\pom.xml.
2016-04-10 21:36:33,390 [Worker-28] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-04-10 21:37:36,829 [Worker-24] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' E:\java\git-repostory\demo\parent\demo-back\pom.xml
2016-04-10 21:37:38,388 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.song.demo:demo-back:0.0.1-SNAPSHOT @ E:\java\git-repostory\demo\parent\demo-back\pom.xml.
2016-04-10 21:37:40,305 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /demo-back/src/main/java
2016-04-10 21:37:40,306 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /demo-back/src/main/resources
2016-04-10 21:37:40,307 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /demo-back/src/test/java
2016-04-10 21:37:41,911 [Worker-24] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 5 sec
2016-04-10 21:37:43,309 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-10 21:37:43,311 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-10 21:37:43,317 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-10 21:37:43,318 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\java\git-repostory\demo\parent\demo-back\src\test\resources
2016-04-10 21:37:43,491 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.song.demo:parent:0.0.1-SNAPSHOT @ E:\java\git-repostory\demo\parent\pom.xml.
2016-04-10 21:37:44,902 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.song.demo:demo-back:0.0.1-SNAPSHOT @ E:\java\git-repostory\demo\parent\demo-back\pom.xml.
2016-04-10 21:37:48,105 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-10 21:37:48,109 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-10 21:37:48,114 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-10 21:37:48,115 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\java\git-repostory\demo\parent\demo-back\src\test\resources
